# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (domain:PD FAO.udpate:2022-03-01T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Liberia,123,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.876,29.4322,36.8006,36.3859,40.2973,41.7466,45.9009,50.3707,60.2823,61.4342,63.1745,62.6472,63.0485,62.7066,64.707,66.9014,67.0702,66.958,70.6706,69.9192,74.8668,78.8679,84.0027,88.594,72.8423,68.2876,67.6212,55.0462,52.8933,54.8814,60.5314,71.7908,74.788,76.0798,64.395,69.111,67.2548,70.1139,77.1384,78.139,83.4051,84.0738,100,103.816,101.505,99.6237,95.9032
Libya,124,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.7835,21.1964,19.8342,20.9533,22.6072,21.5976,27.3456,36.605,39.6641,37.8988,37.6163,36.0509,34.3749,31.554,34.4414,36.1399,35.6883,39.5338,37.834,41.1925,38.7272,35.4526,33.3355,36.0903,36.3962,33.9883,37.959,42.418,37.3652,24.3425,25.8002,31.3493,38.8052,44.0638,47.7103,63.3099,46.0619,51.916,67.2121,74.5538,101.331,104.334,100,103.357,102.034,121.215,103.522
Liechtenstein,125,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.9855,14.1892,16.067,17.3012,19.2673,25.5584,29.2798,30.525,25.8577,27.1629,27.4173,26.1412,26.2375,37.346,43.0558,46.6496,43.0389,53.4224,54.7901,58.1203,57.1383,62.2567,73.3019,70.6985,60.5203,60.5917,58.9595,53.2562,53.8203,58.6544,68.3157,74.5823,75.3485,75.6169,79.5745,90.3264,89.4701,93.9916,110.643,104.059,105.048,106.252,100,97.2342,97.8256,99.4266,98.1922
Lithuania,126,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,35.0482,35.8786,36.6447,37.4131,44.5181,49.6148,51.2776,50.6331,51.2906,51.1255,55.7944,66.4795,75.143,80.5068,86.61,102.532,120.44,110.517,108,119.521,113.409,118.629,119.651,100,101.309,107.855,116.728,113.758
Luxembourg,256,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3655,54.0205,57.7695,71.1371,80.5751,84.0858,90.7896,100.529,111.771,107.482,106.177,116.764,110.681,116.314,119.406,100,100.506,104.406,111.886,109.659
Madagascar,129,GDP Deflator,22024,"Value US$, 2015 prices",6179,28.8108,32.243,37.9122,37.3788,39.4791,45.8848,54.2095,62.7594,61.0968,61.0463,60.3145,49.6341,48.4588,66.0422,51.3974,47.3195,46.4979,55.588,51.5005,57.042,62.2694,55.0341,57.4312,71.0821,60.8419,61.7299,58.69,58.3901,64.3525,71.5208,81.0972,61.4224,67.7973,70.662,88.5523,104.403,97.4935,100.579,114.58,111.492,116.935,114.062,100,100.624,107.664,108.954,106.964
Malawi,130,GDP Deflator,22024,"Value US$, 2015 prices",6179,54.9781,63.1837,66.9216,68.8678,79.3921,86.2717,89.6008,99.5622,111.631,104.004,104.046,98.043,87.9894,90.3396,95.2905,102.837,118.704,120.771,129.43,126.229,125.307,83.7392,89.0245,97.6195,99.3028,100.421,99.0219,95.7019,98.9656,108.653,94.3654,96.9655,98.7461,103.139,104.342,116.357,124.976,131.453,144.232,103.688,90.2305,95.7844,100,80.4064,91.3532,99.477,106.622
Malaysia,131,GDP Deflator,22024,"Value US$, 2015 prices",6179,29.9019,34.2099,33.341,35.3986,39.0628,45.5974,54.0755,58.0988,55.4723,56.1135,59.8122,62.08,57.683,50.7165,55.8387,56.2525,56.7459,58.9925,60.103,66.4516,68.384,69.7179,75.7087,78.1347,72.3122,56.2426,58.1098,63.2556,62.2549,64.2028,66.3208,70.3062,76.7981,82.4441,92.2691,104.961,93.3898,109.613,121.628,121.699,119.508,117.894,100,95.7082,95.8111,102.798,100.198
Maldives,132,GDP Deflator,22024,"Value US$, 2015 prices",6179,32.5052,38.9283,26.5186,24.0673,20.159,20.5361,29.3371,27.2673,25.7966,33.8003,30.3659,27.5628,26.8917,27.427,25.0753,27.522,28.3294,27.6521,29.1925,32.0232,34.1415,35.3526,40.2333,42.1076,43.8342,43.3351,44.5288,45.4332,47.3459,45.4417,46.0196,50.6078,55.2425,59.3116,65.3128,72.5299,80.7162,83.0421,81.9916,83.2015,88.5409,92.5663,100,100.211,101.478,104.642,104.104
Mali,133,GDP Deflator,22024,"Value US$, 2015 prices",6179,79.258,75.5364,100.741,105.004,114.9,135.145,154.785,188.613,166.779,137.814,127.727,124.678,125.436,157.623,190.971,197.047,183.832,217.289,208.668,218.651,206.497,140.889,130.41,120.376,98.5279,105.492,97.8548,80.2714,82.1214,85.4073,91.4322,112.775,117.205,115.091,125.457,137.092,128.094,121.184,136.685,117.831,117.213,118.124,100,98.4706,100.955,105.044,100.588
Malta,134,GDP Deflator,22024,"Value US$, 2015 prices",6179,30.1423,29.8076,31.4633,29.9083,31.59,36.0551,41.1679,48.0168,46.2289,44.868,42.6305,39.9167,39.4754,48.7835,57.184,60.8238,58.9856,66.7226,67.7952,71.1557,61.0558,63.9613,71.7052,71.1293,67.0461,67.1455,66.0219,61.2258,61.0521,65.1257,76.9965,85.5489,87.1918,90.8466,102.143,111.886,108.963,107.861,115.701,109.046,114.672,117.163,100,101.206,105.944,113.042,109.598
Marshall Islands,127,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.6394,23.4634,25.7203,27.873,30.2942,31.5185,35.4948,39.9914,43.6349,46.8545,48.4991,50.4914,52.3528,53.6374,55.1716,57.4462,60.179,63.1818,66.3685,68.3696,70.443,72.2924,74.3218,76.4001,76.6951,80.7439,82.1593,79.7021,78.5426,82.9326,84.2103,87.0296,88.7853,91.3062,92.3379,95.1759,96.6444,98.1099,101.225,104.313,104.581,101.395,100,107.106,107.59,95.4999,97.2963
Mauritania,136,GDP Deflator,22024,"Value US$, 2015 prices",6179,35.2061,41.1441,48.572,51.024,52.4594,55.7918,63.1869,77.3884,80.3593,80.0998,79.4419,70.6135,64.0487,71.1351,78.7874,81.8736,80.5623,85.1784,88.7913,88.0409,69.2114,69.9719,75.5198,69.1021,69.9853,59.3747,55.9628,52.1913,51.6228,51.8232,55.9406,63.4683,70.4415,79.4484,89.866,108.01,97.7112,113.681,131.146,124.859,128.7,112.453,100,102.468,104.57,106.81,108.62
Mauritius,137,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.8829,35.1977,34.9386,35.5342,39.0163,46.3244,53.3789,55.4619,52.8712,47.3093,47.6473,43.4019,41.9976,52.0242,59.0973,62.5538,61.1771,68.9727,70.9539,77.8178,74.9415,78.5018,85.2238,88.671,79.3586,74.4987,74.7187,74.1351,70.9695,73.2287,83.1265,90.1178,87.3306,86.3951,94.7516,110.208,97.4733,102.335,113.214,110.817,111.45,113.394,100,100.753,105.199,108.44,104.712
Mexico,138,GDP Deflator,22024,"Value US$, 2015 prices",6179,21.1356,25.9386,30.0295,29.0934,25.9255,30.013,36.0244,46.0687,54.3445,38.0369,34.0609,38.7812,39.6453,28.9008,30.7459,37.1885,43.4531,48.7259,55.9598,62.4422,72.7309,73.0542,53.1835,56.8509,64.7879,64.8177,71.9149,80.8213,86.7427,88.5441,82.4463,85.0911,93.2974,99.246,104.713,109.164,93.4566,104.489,112.488,110.429,115.607,115.994,100,89.4797,94.1132,97.1562,100.306
Micronesia (Federated States of),145,GDP Deflator,22024,"Value US$, 2015 prices",6179,25.9947,29.8374,29.8308,30.1722,29.7673,31.9612,35.1559,40.3432,43.8057,47.0926,48.5409,50.8784,52.5494,53.5733,54.8229,57.2274,59.72,62.7316,65.978,68.1729,69.7476,71.2338,70.9412,72.1981,72.6655,74.9188,74.2123,74.9905,75.8887,75.9108,75.606,76.4074,78.002,79.1103,81.6046,85.7025,90.2836,93.5175,95.0233,101.808,102.436,105.547,100,104.055,111.828,122.304,124.592
Monaco,140,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.6109,25.481,32.513,32.1463,34.2379,40.6653,47.5855,53.5096,46.4698,43.0745,40.7292,38.03,39.0055,53.1598,62.76,65.3488,63.0186,75.7999,75.0187,81.5272,77.4464,79.728,89.6792,88.6931,78.417,78.3192,75.197,66.0385,65.4292,70.2361,85.7948,95.92,97.9287,100.901,112.933,123.94,118.382,114.071,120.865,113.011,117.692,118.28,100,99.8963,102.926,108.62,104.194
Mongolia,141,GDP Deflator,22024,"Value US$, 2015 prices",6179,17.7934,19.3945,21.191,22.3572,23.7463,25.4166,27.5253,30.0117,32.8515,34.881100000000004,36.2473,37.555,38.7427,39.5229,40.5001,41.9287,43.5725,45.2035,46.7322,47.7972,48.9296,49.9745,51.0224,47.625,40.9786,36.5747,33.0547,34.1522,36.998,38.9075,41.5349,46.883,55.3738,69.0115,77.6486,94.6751,78.1675,99.4086,122.717,129.02,118.278,106.535,100,93.3367,90.4167,96.9121,97.6755
Montenegro,273,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4448,103.112,118.776,115.355,111.742,118.697,109.902,115.917,117.028,100,104.825,111.15,119.942,115.998
Montserrat,142,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.7892,17.6892,19.1276,16.9648,18.942,20.0409,22.0773,29.949,33.8321,35.5589,40.1406,41.4786,40.9411,42.3305,44.1926,45.8164,49.9029,55.3062,50.7402,53.0091,54.2305,55.7761,57.5989,62.268,64.0565,69.2714,70.5433,70.2452,70.453,76.342,78.7691,80.2941,86.307,91.7878,95.7493,97.5266,99.3914,99.7619,108.009,107.378,99.6286,97.1721,100,101.036,99.7102,99.781,102.094
Morocco,143,GDP Deflator,22024,"Value US$, 2015 prices",6179,41.9395,48.855,53.1694,51.1926,55.6477,65.1941,74.7812,84.8685,70.8611,65.2548,59.3111,51.9951,49.3631,60.1236,68.0444,72.6681,73.3745,79.8346,80.4647,85.6957,81.5546,83.6892,97.3546,96.3649,89.8866,89.4832,88.3721,81.0493,76.789,79.6298,92.327,100.696,102.206,104.592,116.704,128.949,118.837,114.695,117.366,111.215,115.231,114.163,100,98.9307,99.278,102.971,100.745
Mozambique,144,GDP Deflator,22024,"Value US$, 2015 prices",6179,244.158,240.287,243.707,210.127,213.072,220.284,224.69,212.207,201.888,220.362,235.917,259.67,377.523,450.808,152.645,124.404,126.231,137.198,121.095,93.7248,87.617,84.2634,85.4467,102.193,110.673,113.994,115.869,108.387,92.2901,88.7999,92.2523,103.491,108.626,106.385,112.461,125.903,112.369,98.337,118.561,125.674,121.973,118.533,100,72.079,76.942,83.5314,84.1493
Myanmar,28,GDP Deflator,22024,"Value US$, 2015 prices",6179,80.6956,95.6427,82.6736,83.6298,80.8017,87.0784,93.0966,96.5185,90.8815,87.4483,86.608,84.7066,86.3537,76.3566,78.2445,81.0045,84.1802,87.3313,90.2847,92.3422,94.53,96.5486,98.5731,100.378,102.109,59.6626,54.0223,58.6571,59.5997,65.733,50.7829,49.9507,51.693,53.641,60.0483,73.9578,85.9053,99.8817,127.546,126.058,118.279,116.827,100,99.2074,94.7552,96.0079,97.3278
Namibia,147,GDP Deflator,22024,"Value US$, 2015 prices",6179,31.41,35.8172,37.3599,35.3465,39.2824,44.0029,52.3773,69.987,64.3003,60.7998,67.1371,57.1465,46.8939,50.3419,61.8066,66.517,66.3541,71.552,71.0633,75.869,72.4435,80.465,83.9587,81.42,81.2396,73.3569,70.8254,68.7046,61.5726,55.3648,78.0233,93.5934,100.313,103.074,109.128,103.219,107.638,129.021,135.039,134.816,118.953,114.479,100,94.8861,113.58,119.169,110.79
Nauru,148,GDP Deflator,22024,"Value US$, 2015 prices",6179,12.6482,15.9904,15.6183,16.3252,16.8159,18.7524,19.9091,22.4811,24.6678,24.1177,23.8044,24.1097,20.4483,21.2292,24.2959,29.0469,31.6242,35.1514,40.1344,44.8855,46.1792,47.8788,49.4014,54.2671,54.6183,48.0494,52.6679,49.9626,46.9737,52.2481,65.8689,78.8978,85.4125,102.807,93.2354,85.6934,136.71,131.568,174.704,217.599,158.953,130.861,100,109.292,126.004,127.968,121.79
Nepal,149,GDP Deflator,22024,"Value US$, 2015 prices",6179,31.5233,37.7685,41.2903,36.5423,35.2395,39.7819,44.1538,47.5142,49.8511,50.8125,51.955,48.8394,49.0881,48.2695,52.9194,55.4366,52.8326,54.1509,46.7131,48.598,47.1765,49.8499,50.4452,49.7803,52.0859,47.7122,50.1949,50.3745,49.0262,49.04,51.6975,55.6553,60.9695,64.208,75.6859,76.1044,79.3283,96.7189,106.078,98.2773,95.9598,98.0419,100,100.28,113.01,115.712,118.816
Netherlands,150,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.2883,26.4173,31.0701,32.3505,37.0782,44.3178,49.7466,52.3328,44.362,43.3712,41.1401,37.4384,36.481,49.5605,59.3141,61.2862,57.8903,68.4729,68.7672,74.9406,72.086,75.0812,86.8599,83.5873,74.128,74.4321,72.2993,64.6611,65.4314,71.4105,87.4956,97.4186,99.5098,102.952,114.65,125.535,119.316,114.823,120.753,113.223,118.499,118.709,100,100.191,103.612,110.954,108.289
Netherlands Antilles (former),151,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.3415,21.9072,25.3447,26.6792,22.0722,25.175,28.4332,28.9877,32.9944,35.9477,35.9637,37.0028,38.5176,52.8818,54.6235,55.7946,58.1039,60.3556,62.1717,63.1531,64.36,65.5826,66.5974,68.7638,70.0881,73.1301,73.9716,77.3347,77.3954,78.0167,78.9517,80.1839,78.0086,80.3324,81.8552,87.0194,88.1381,91.2103,91.5856,94.6377,,,,,,,
New Caledonia,153,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.8542,23.9754,28.56,27.291,28.1008,25.8489,37.0336,41.9841,37.2094,33.7264,31.343,29.7501,30.5702,43.3958,50.8561,52.6284,49.982,55.8483,55.8567,61.2234,58.7856,61.6948,69.5371,68.816,66.2676,68.7134,67.4861,61.5983,58.3249,64.2875,80.8189,93.3303,95.4715,100.995,122.388,124.745,117.021,118.083,124.947,114.686,118.243,121.558,100,100.301,103.69,109.758,104.96
New Zealand,156,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.2367,19.3143,19.0515,18.9851,21.6138,26.1656,29.1128,31.9842,32.9369,32.5072,31.167,28.6171,28.3503,34.6841,46.0166,54.2794,52.0855,52.6838,51.6697,48.9603,49.87,55.6251,62.7109,66.7658,64.6383,52.7696,52.5693,46.6941,44.7095,49.1713,63.128,74.6324,80.8902,76.7241,90.9743,89.6829,80.1155,95.8602,107.276,109.463,116.145,117.971,100,102.208,107.243,105.567,103.442
Nicaragua,157,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.5063,30.2399,30.9426,34.2251,39.0323,40.187,39.1189,44.9681,49.2277,52.2665,54.3149,56.2724,58.053,59.2224,60.6867,62.8273,65.2904,67.7345,69.751,73.679,78.9137,71.1005,71.8322,70.4271,69.0275,70.2773,68.7834,69.5234,70.7244,68.516,68.0915,70.3752,73.6407,75.9058,79.2846,87.7366,88.6069,89.5673,94.0157,95.1243,94.5393,97.5941,100,99.6048,98.7772,97.4536,97.1723
Niger,158,GDP Deflator,22024,"Value US$, 2015 prices",6179,27.7417,29.2898,38.3756,45.1085,49.4274,58.9717,72.0529,89.7648,77.8144,69.7997,65.4918,63.7982,58.3867,76.9265,90.2372,88.4086,83.1119,99.4278,94.0274,97.4848,88.6716,53.4108,62.5515,63.7257,58.3912,59.1919,57.6587,51.6381,52.2999,56.6504,67.4583,74.6214,80.7843,82.6685,94.1425,108.364,109.016,106.588,116.799,113.11,118.681,118.458,100,100.771,104.208,111.78,106.502
Nigeria,159,GDP Deflator,22024,"Value US$, 2015 prices",6179,42.1152,61.5432,77.7185,88.514,95.1285,109.319,136.038,172.645,161.125,169.662,188.595,188.31,172.688,92.7333,48.482,51.5744,40.9761,40.0463,38.6122,32.4604,36.0439,31.8846,32.5531,33.1492,33.7208,34.1003,34.5927,38.5307,38.7779,43.3231,44.3884,52.819,64.0863,80.9984,88.7098,101.602,81.4437,93.8735,100.666,108.124,113.627,117.994,100,83.1609,76.6018,84.3626,92.8642
North Macedonia,154,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,45.6902,50.0434,61.2388,81.8916,79.8145,66.3248,61.7423,60.7128,56.7068,57.521,61.3907,73.9244,81.139,85.3297,88.975,101.533,114.431,108.957,105.478,114.98,107.259,115.68,117.247,100,103.104,108.066,117.502,114.066
Norway,162,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.7641,21.7508,25.1005,25.9297,28.7489,31.0224,33.9451,39.3714,38.2453,37.5858,35.5614,33.7663,33.721,38.9885,45.8824,49.7439,49.587,56.7791,56.0368,58.0834,52.048,52.2359,59.9742,61.4185,57.5639,53.5913,55.3014,56.5429,56.2757,62.3454,72.3159,80.3905,91.4751,99.9439,112.583,129.184,109.824,121.08,139.346,138.734,140.887,131.729,100,94.5848,99.8494,107.43,98.6619
Oman,221,GDP Deflator,22024,"Value US$, 2015 prices",6179,12.6451,33.5967,33.2826,35.0428,31.8925,27.1093,35.4109,53.4187,54.921,51.7628,48.4671,46.8939,45.4907,35.2555,38.5015,35.5561,38.5853,44.3884,40.6292,41.1115,38.865,38.6984,39.4422,42.4286,41.4246,36.6701,40.7179,47.8063,45.6251,47.7712,52.714,59.5709,72.9533,82.8969,89.7476,120.038,89.875,103.927,120.73,124.807,121.919,123.426,100,91.0893,97.8693,109.603,105.726
Pakistan,165,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.7097,29.6664,36.267,40.651,44.9862,49.0479,51.7304,57.1766,63.524,58.0567,55.2034,56.5274,52.1089,51.4993,51.5019,54.5595,51.9231,52.3045,53.9349,56.3255,54.6275,56.7153,62.3879,59.2989,59.0043,57.9027,55.7816,52.8739,49.4199,52.5053,56.7079,60.5721,63.459,69.2167,73.6807,71.9544,74.8128,79.5417,93.9003,91.9917,90.4277,97.6379,100,98.4838,101.77,90.2733,79.005
Palau,180,GDP Deflator,22024,"Value US$, 2015 prices",6179,9.2968,10.2059,11.216,12.3374,13.3244,14.7235,16.2695,17.9778,19.8654,21.9513,23.7074,25.604,27.6523,29.8645,32.2536,34.8339,37.6206,40.6303,42.6618,44.7949,47.0235,46.3876,48.2836,52.1744,54.2387,55.0644,55.2406,61.1848,64.1352,62.5116,61.0089,66.4357,70.5197,73.3597,74.5326,80.3179,79.3395,79.1668,79.4617,85.2801,91.5374,95.459,100,106.904,106.175,100.232,98.1838
Palestine,299,GDP Deflator,22024,"Value US$, 2015 prices",6179,28.2794,36.2943,36.03,36.7257,38.2041,35.2016,41.5509,46.0227,45.3281,44.3675,47.8629,44.8356,42.1313,56.6818,64.1966,68.6995,63.8506,58.2643,65.5685,65.2683,63.5766,56.2175,60.5939,62.1788,59.7949,56.5826,54.8685,60.5981,62.019,62.9417,61.6038,58.6128,58.6458,61.8086,64.757,75.7711,77.175,87.3592,92.094,94.735,100.171,103.85,100,101.278,104.545,104.229,108.21
Panama,166,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.0581,25.7282,28.3631,29.6389,31.0786,33.557,36.7597,40.6596,42.0369,42.8573,45.7239,47.3196,48.021,48.569,48.6171,48.3504,47.7337,48.0035,48.24,50.6815,52.4831,54.4143,54.6683,54.8216,55.7014,56.256,56.7333,56.0221,56.6001,57.5455,58.1964,59.34,60.3774,61.6492,67.2493,72.3114,76.9907,78.9849,83.6008,88.7638,93.6501,97.5811,100,102.002,103.766,104.551,104.372
Papua New Guinea,168,GDP Deflator,22024,"Value US$, 2015 prices",6179,35.5006,39.3479,36.5115,40.4777,46.7149,52.2833,59.0833,67.1182,66.0512,62.1073,59.8368,59.8198,54.6052,56.9973,65.846,74.4012,73.2186,68.5538,73.6153,73.249,70.4342,71.0984,66.8923,66.7809,68.1516,49.7639,44.5831,46.5738,40.8486,39.7839,46.4653,51.9318,58.2181,64.6491,68.5044,84.0106,78.3147,87.2161,108.865,123.165,118.439,113.876,100,90.587,95.8558,102.351,99.055
Paraguay,169,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.6549,24.2645,25.6552,26.8884,29.8478,32.7976,39.312,45.9236,53.4141,56.1027,64.2,51.087,41.9371,49.8813,40.0926,50.1754,34.2887,40.132,46.4869,47.1071,48.2404,53.4593,58.9169,63.6755,62.6672,55.5845,52.0463,52.3211,46.5756,39.7331,39.6708,46.4903,49.4897,57.5539,70.7408,91.5445,83.4536,91.5231,108.667,107.854,115.328,114.802,100,95.5748,98.5259,98.6886,92.865
Peru,170,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.3037,18.7927,22.0037,20.6928,18.579,16.3903,20.1088,25.2529,29.2228,29.7933,25.8068,26.1117,22.0884,30.0151,44.8074,43.2175,55.4139,48.8635,56.3977,59.2291,54.3312,62.3692,69.387200000000007,69.9047,69.0611,66.1681,58.9838,59.1965,59.1805,59.0822,60.8055,65.8597,70.594,76.5051,81.2694,87.8875,87.1068,98.1562,107.48,113.577,112.046,109.227,100,97.2589,104.317,105.574,105.589
Philippines,171,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.6289,24.586,25.171,26.5568,28.8992,31.7546,36.4073,40.8546,43.3932,43.6321,38.2995,39.0818,41.2574,38.7703,41.3086,44.1621,46.7291,47.2014,48.6608,56.5685,56.8516,64.1951,70.9291,74.9018,70.7774,56.3417,62.8234,58.7415,53.7328,55.3067,54.3397,55.4584,59.7074,67.2676,77.109,86.3449,82.4926,90.8741,98.4496,102.965,104.533,103.1,100,97.4337,93.9474,93.3015,95.6716
Poland,173,GDP Deflator,22024,"Value US$, 2015 prices",6179,27.4865,28.7937,28.9387,29.8935,30.9606,33.2666,35.86,29.3849,30.9329,39.4598,43.2392,40.9857,36.7915,36.7471,31.1683,32.2323,38.4447,33.8009,47.1386,50.7179,49.8416,54.5293,65.3911,69.3743,64.8316,67.9157,63.1655,61.1883,66.9839,68.4551,72.3736,80.7365,93.6065,99.285,115.446,137.8,110.431,116.158,122.08,113.693,117.501,118.342,100,95.903,101.911,107.922,104.72
Portugal,174,GDP Deflator,22024,"Value US$, 2015 prices",6179,17.7324,20.3369,23.5039,23.1012,23.0606,24.5794,26.3651,31.1511,29.8003,27.8532,24.8984,23.491,24.5681,33.709,39.4055,42.8706,43.3146,54.1317,58.7967,70.1301,63.2199,65.6992,74.6465,74.8763,68.4373,69.1644,68.4283,61.199,61.6494,67.5546,83.7894,94.3942,97.6913,101.685,114.231,124.381,119.254,114.425,119.783,110.283,116.526,117.258,100,101.449,105.174,111.941,107.898
Puerto Rico,177,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.0991,19.8538,21.7291,22.5812,23.4225,24.7522,26.641,29.711,32.4908,35.2045,36.1158,37.326,38.7252,38.7626,40.1591,41.3323,42.531,44.3704,45.7595,46.9378,47.8231,49.3434,50.712,52.6943,53.3954,56.7905,57.6304,59.5301,62.8058,64.4075,67.2562,69.0977,73.6513,77.6968,80.6356,85.9269,90.2083,92.4582,94.6493,95.7654,96.8973,98.0607,100,102.221,104.36,106.85,109.789
Qatar,179,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.8352,14.383,17.336,20.7739,24.53,25.2442,34.3702,48.3151,52.9826,49.9316,43.3332,43.8657,40.1386,31.2917,33.7128,35.2919,35.6992,39.163,37.2445,37.1604,35.2482,35.8131,38.5948,41.1643,39.4852,32.227,37.3444,49.5391,47.086,48.5026,56.8337,64.2832,83.9175,90.9334,100.909,124.017,93.9824,103.005,122.206,129.995,132.43,132.167,100,91.8548,99.4827,112.366,107.927
Republic of Korea,117,GDP Deflator,22024,"Value US$, 2015 prices",6179,15.9861,20.5596,21.2504,25.7633,29.4871,35.9258,42.5846,42.2956,43.9819,43.6165,43.0867,43.3043,41.7154,43.2195,48.551,58.4868,67.5785,70.579,74.3427,75.2705,77.7843,84.0495,93.7059,93.534,82.2631,58.3392,67.9273,72.132,65.3883,69.5206,75.5086,81.018,91.5499,97.9781,103.106,89.3969,79.9377,90.7124,95.8352,95.4689,99.2264,104.11,100,99.4131,104.321,107.669,100.732
Republic of Moldova,146,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,44.8181,45.88,46.8597,47.8422,48.7182,54.583,51.436,36.7203,39.5418,42.8208,44.5805,49.822,60.8698,65.1311,70.8921,88.8784,113.386,108.352,108.098,123.235,128.309,128.308,122.372,100,99.8114,114.218,129.753,130.869
Romania,183,GDP Deflator,22024,"Value US$, 2015 prices",6179,33.5948,31.3283,30.5912,30.9438,30.8509,33.9014,34.4044,34.0065,41.2114,46.2396,40.2353,32.5399,40.5006,43.0857,47.7825,49.6527,46.9544,35.4849,30.7431,22.8663,30.3247,33.2859,36.6516,34.8155,35.2811,42.1808,36.4957,36.8551,38.0942,40.8688,51.777,59.6925,73.6691,84.5191,112.77,126.644,108.888,108.182,117.039,107.003,115.296,116.561,100,101.105,106.01,115.858,115.21
Russian Federation,185,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,51.9687,53.1999,54.336,55.4753,56.4911,57.5478,40.6806,27.6569,33.3181,37.4291,40.264,46.8673,60.0477,72.9812,87.4327,105.765,128.415,102.554,122.396,156.408,162.556,165.981,148.076,100,93.3744,113.096,116.653,116.804
Rwanda,184,GDP Deflator,22024,"Value US$, 2015 prices",6179,34.3067,44.6437,54.9391,51.2693,57.0717,63.0391,70.5939,73.2873,77.9453,76.5699,75.9697,85.1098,88.1039,94.8027,105.866,114.16,112.752,112.175,86.6656,85.8461,90.9852,109.43,88.3113,83.1969,97.8848,96.3592,85.4452,75.6301,66.2704,58.5752,62.3144,64.4269,72.7089,75.3387,85.8175,98.2408,101.304,101.881,106.087,108.585,105.904,105.201,100,96.1836,98.4164,94.4006,92.6969
Saint Kitts and Nevis,188,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.1029,27.2813,28.1511,22.4155,21.8428,23.3532,25.8346,27.7183,32.252,34.1119,34.0457,35.4955,36.8131,39.0943,41.4815,44.3897,46.915,50.4819,52.2181,54.9843,56.0789,59.5963,60.0632,60.4511,63.4224,65.1983,67.0109,63.1572,65.2619,67.531,68.6578,71.2937,70.1361,80.0732,85.1373,87.4369,90.7167,92.7749,98.0112,98.1185,97.6844,100.313,100,102.309,107.143,105.549,107.061
Saint Lucia,189,GDP Deflator,22024,"Value US$, 2015 prices",6179,15.9451,20.4856,22.7551,19.9245,19.9328,21.7047,25.6337,31.8729,35.5901,37.3842,38.3858,39.6134,40.9451,42.5031,45.3078,45.1908,47.649,50.45,53.9692,55.8788,55.7572,57.0978,60.169,59.8226,61.171,63.1297,64.9887,65.9226,64.6008,64.9354,67.3022,68.3796,73.4937,76.8437,79.4251,81.457,80.6574,85.177,86.5991,88.2415,93.3945,97.1703,100,99.7494,103.296,104.002,105.034
